"Tür"	"Künye"	"Sol"	"-5;5"	"Sağ"
"w"	"W-DG37C2A-1237-1103"	"biri. Alarak bir türlü tüketici"	"olursunuz,"	"okuyarak bir başka türlü. Okurken"
"s"	"S-ADABPZ-0134-2163"	"biri özellikle de İzinler Çağı"	"olarak"	"da emm adlandırdığımız 18. yüzyıldan"
"w"	"W-FC35C2A-0346-1936"	"biri diğerini çıkarır."" İçilmesi haram"	"olan"	"içkinin alış verişi de haramdır."
"w"	"W-PI43C3A-1810-30"	"biri değilim. Kendime uyumlu biri"	"olunca,"	"çok uzun süren ilişkilerim var,"
"w"	"W-KE05A1B-3644-390"	"Bireysel ve siyasal sorumluluklara ilişkin"	"olarak"	"da değerlendirmeler objektiflikten uzak ve"
"w"	"W-VI19E1A-4006-1832"	"bireylerinize anlatınız. Okul hayatınızda başarılı"	"olabilmek"	"için nelere dikkat ediyorsunuz? Defterinize"
"s"	"S-AAABLp-0159-2052"	"bireylerin devletle veya devletlerin devletlerle"	"olan"	"ilişkileridir. Tanım bu. Mesela, arkadaşınızın"
"s"	"S-ADABPZ-0135-950"	"bireyi öteki varlıklardan da ayırmış"	"oluyor."	"Ayırt etmiş oluyor. Yani ben"
"w"	"W-OF10E1B-3063-1741"	"birer Sevgililer Günü hediyesi olabilecek"	"olan"	"bu üç telefondan Siemens C35,"
"s"	"S-ACABPA-0434-948"	"birer ay arayla ve ihtiyacı"	"olursa,"	"ki ihtiyacı olacak, üç tane"
"s"	"S-AEABUZ-0022-145"	"birebir çok iyi bi labaratuar"	"olduğunu"	"düşünüyorum. Oynanan oyunlar benim gittiğim"
"w"	"W-JF02A4A-1090-2458"	"birbirlerine bağımlı olması çıkarlarının ortak"	"olduğu"	"anlamına gelmez. Çatışma ve işbirliğinin"
"w"	"W-SD02A0A-0266-1681"	"birbiriyle çelişen özne konumları da"	"olabilir."	"Ne var ki, ""bu öğeler"
"w"	"W-WI45F1D-4709-166"	"birbirini öper? Yalasaydık daha garip"	"olmaz"	"mıydı? Neden matematikte bilinmeyen sey"
"w"	"W-JE39C2A-0422-932"	"birbirimiz için okur gibiydik. Bundan"	"olacak"	"Behçet Necatigil, ""İnsan bazen o"
"w"	"W-TD37C2A-0304-2363"	"Biraz mantıklı düşünün Başlangıçta mutlu"	"olan"	"çiftlerin neredeyse yüzde 90'ı, “Yanlış"
"s"	"S-ADABAo-0318-1521"	"biraz kiloluyum o zaman ne"	"olucak?"	"Şimdi karşımda ben hakketen çok"
"s"	"S-BEABXX-0411-1142"	"Biraz daha sesli konuşalım ama"	"olur"	"mu? Olur. <gülme> <gülme> Ya"
"s"	"S-ADABI]-0126-266"	"biraz bitiyor. Ama sanatçı ne"	"olursa"	"olsun bir kişi bile olsa"
"s"	"S-ADBBAo-0443-1464"	"birarada kalmış. İşte gençlere örnek"	"olsun."	"Bir yerlere gelebilmek için illaki"
"s"	"S-BEABXO-0075-1137"	"birader. Yaa kardeş hızlandırılmış kurs"	"olur"	"mu yaa? Çok saçma yaa"
"s"	"S-BEABXO-0075-1023"	"birader. Alırım ben ya. Param"	"olsun."	"Babacım önce bi işin olsun"
"w"	"W-SA16B1A-1488-508"	"Bir şeyler oluyor ve bu"	"olan"	"şeyde galiba başoyuncuyum. Kapıya doğru"
"s"	"S-ADBBI^-0326-1670"	"bir şeyler katmak istemişler ama"	"olmamış."	"Bana önerilen şeyi ""Ben bunu"
"s"	"S-ADABAo-0368-1709"	"bir şeydir. Hayatta hiçbir tecrübesi"	"olmayan"	"bir insan bile şu an"
"w"	"W-UA16B4A-1185-1990"	"bir şey... bir şey daha"	"olursa,"	"milleti eğlendirecek bir atraksiyon..."" ""Ne"
"w"	"W-UH03A1B-2409-151"	"bir şey yoktur. Mutlak kesin"	"olan"	"hiçbir şey yoktur. Her şey,"
"w"	"W-VD05A0A-2036-1197"	"bir şey de, davalarda tarafsız"	"olmalı."	"Tarafsızlığını koruyabilmeli. Hâkim karar mercii"
"s"	"S-ACABQq-0422-1301"	"bir şekilde ortaya çıkmaktadır. Milletvekili"	"olarak"	"bu sıralara yollanmış olan bizlerin"
"s"	"S-ACAAQq-0424-601"	"bir şekilde görelim diye. Rakam"	"olarak"	"bakacak olursak, toplam akaryakıt piyasası"
"w"	"W-UA16B2A-1495-1035"	"bir şehirde, başka bir hayatta"	"olan"	"kızımız anlamazdı. Önümüzdeki bayram mutlaka"
"w"	"W-QA16B2A-1314-1794"	"bir şarkı yazan bulunur nasıl"	"olsa."	"Mesele dilek meselesi. Mesele dile,"
"s"	"S-ACABTZ-0336-1100"	"bir Öngörülmüş gerçekten. Öngörülmüş yani"	"olabilir."	"Belki Türkiye'deki bu <B> Türkiye'deki"
"w"	"W-TE36E1B-3355-2416"	"bir ödeme almaları söz konusu"	"olmadığından,"	"sadece ve sadece birlikte çalıştıkları"
"s"	"S-AEABUZ-0021-307"	"bir çocuğa sahip bir ebeveyn"	"olarak"	"diyorum ki benim çocuğum sanatın"
"s"	"S-ADABPZ-0135-1388"	"bir çeşit motorize bir güç"	"olarak"	"anlaşılabilir. Bu öğretiler, bu görüşler,"
"w"	"W-NG09C3A-0416-2080"	"bir çeşit asistanlık görevini yüklenmiş"	"olan"	"yakışıklı genç bir adam çarptı"
"s"	"S-BEABXg-0088-742"	"bir çevreyi tanıyosun diyo. İş"	"olsa"	"çevren genişler şu olur diyo."
"s"	"S-ADABPZ-0135-1987"	"bir zorunluluktur ki ötekiyle birlikte"	"olmak"	"için değil ötekinin yanında olmak"
"w"	"W-KC06A1B-3773-624"	"bir yöre olduğundan araştırma yöresi"	"olarak"	"seçilmiştir. Balıkesir yöresinin özellikleriyle bütünlük"
"w"	"W-IG37C3A-0492-1416"	"bir yola sürmek... Öyküde bile"	"olsa,"	"onunla beraber ikinci bir yaşamı"
"s"	"S-ADBBI^-0326-2128"	"bir yerlerde var olan şeyler"	"olabilir"	"mi? İnsanlara takılmalar, espriler, açık"
"s"	"S-ADBBI^-0042-756"	"bir yerel seçim, bireysel tarafı"	"olan"	"bir seçim... Bireysel olarak aday"
"s"	"S-ADBBI^-0042-2290"	"bir yere bıraktık. Köpeğiniz de"	"oldu"	"mu? Evet. Uzun süre bir"
"w"	"W-SI44F1D-4743-883"	"bir yerde karşılaşsak üslubumuz farklı"	"olacaktır)"	"Forum ortamının bu tür yönlerini"
"s"	"S-ACABFZ-0049-537"	"Bir yeni dünya imparatorluğunun kurulmakta"	"olduğu"	"gerçeği, yalnızca Bernard Cassen gibi"
"w"	"W-FA15B1A-1728-148"	"bir yağmur? Öldürür beni iflah"	"olmaz"	"siyah! Kendimden başka neyim ki"
"w"	"W-TE37E1B-2905-2327"	"bir yargılanma ve gerçeklerin gerekli"	"olduğu"	"tarihi öneme sahip bir ceza"
"w"	"W-OA16B3A-0033-59"	"bir yanının da olduğunu göstermiş"	"oldu."	"Birazcık itişip kakıştılar. Gülme sesleri"
"s"	"S-ADABPZ-0372-2302"	"bir yanından iyi birer eczacı"	"olmak"	"için Mersin Üniversitesi Eczacılık Fakültesi'ndeki"
"w"	"W-MC03A4A-1443-396"	"bir virüsün varlığına işaret ediyor"	"olabilir."	"Otizmin nedenlerine ilişkin bütün belirtiler"
"w"	"W-JE05A1B-3588-1544"	"bir uluslararası hukuk kişisi sayılmadığından"	"olsa"	"gerek. Divan, ""varlığını sürdürme hakkı""nı,"
"s"	"S-ADABPZ-0134-2204"	"Bir ulusa ait olmak da"	"olmak"	"ile bir etnik gruba ait"
"w"	"W-FA16B3A-0080-657"	"bir trompet olmak istemiştim. ""Trompet"	"olmak"	"istiyorum,"" demiştim içimden; ""Trompet olmak"
"s"	"S-ADABPZ-0134-321"	"bir tanım ortaya koymakta mümkün"	"olamamıştır."	"Evrenselin ne olduğuna ilişkin bir"
"w"	"W-UH03A1B-2408-755"	"bir tanrı kavramı ""sonsal erek"""	"olarak,"	"insanla ilişkiye geçirilir. Kant kuramsal"
"w"	"W-II13C4A-1333-1869"	"bir tabanca namlusunun duyarlığı içinde"	"olduğunu"	"bilmiyor. Uçsuz bucaksız bir inci"
"s"	"S-ADABCo-0298-2062"	"bir suçtan dolayı biraz tuhaf"	"oldu"	"ama. Suçsuz olduğu halde ceza"
"s"	"S-ACABPA-0434-1104"	"bir sonuç verecektir. Peki aksi"	"olursa,"	"yani başkan çoğunluğuyla, parlamento çoğunluğu"
"w"	"W-GA16B2A-1924-993"	"bir solukla başkaldırıyor. Belli mi"	"olur,"	"belki güzel Allahım yedinci yılı"
"s"	"S-ACABPA-0434-1166"	"bir seçim sisteminin daha doğru"	"olduğunu"	"söyledi. Fakat bugünkü parlamentodan seçim"
"s"	"S-ADABPZ-0134-345"	"bir seçenek bulamıyorum, mutlak kendisi"	"olarak"	"kalan değil, başkalaşmalarıyla birlikte kendisi"
"s"	"S-ADABAo-0312-1019"	"bir sene olabilir. Daha fazla"	"olamaz"	"o da makul bir gerekçe"
"w"	"W-UE05A3A-2590-170"	"bir savaş girişimi, askeri harekat"	"olan"	"eylemimize ""Barış Harekatı"" gibi anlamsız"
"w"	"W-KE39E1B-2839-713"	"Bir savaş durumunda Sırbistan uluslararası"	"olarak"	"tanınmış topraklarının bütünlüğünü korumak için"
"w"	"W-SA16B4A-0047-1717"	"bir rapor yazdım ve tanık"	"olduğum"	"olayları orada belirttim."" Pis korkak,"
"s"	"S-ACABPA-0434-1576"	"bir parti tek başına iktidar"	"oldu."	"Çeşitli ülkelerde başka sistemlerle yapıldığı"
"w"	"W-RA16B2A-0840-1580"	"bir oğlancık idi gördüğü. Babaları"	"olduğu"	"belli olan, çizgili gömleğinin içinde"
"s"	"S-ADABI]-0126-138"	"bir oyunculuk tarzı öğreniyoruz. Böyle"	"olunca"	"emm her hocanın farklı bir"
"s"	"S-BEABXs-0130-102"	"bir oyun. Seviyor onlar. Birinci"	"oluyor"	"ama arkadaşlar arasında. Ben onun"
"s"	"S-ACABFZ-0049-2101"	"bir ortamda daha iyi seçmen"	"olmazlar"	"mı? Kapı kulluluktan yurttaşlığa başka"
"s"	"S-ACAAPZ-0384-663"	"bir ortam sağlandığı zaman ticaret"	"olursa,"	"huzur ve ticaret olursa ticaretin"
"w"	"W-RA16B4A-0104-1073"	"bir müşterek tarafımız varmış zahir."""	"""Olmaz"	"olur mu? İnatçılığınız, titizliğiniz, çalışkanlığınız."""
"s"	"S-ADBBAo-0443-1273"	"Bir müdür olursun, maaşın emekliliğin"	"olur"	"dedim. O da bana 'okumakla"
"w"	"W-RD02A3A-1385-131"	"bir Milli Mücadeleleri, bir Atatürkleri"	"olmalı."	"Birileri bu vatanda bana ortak"
"w"	"W-SA16B2A-0659-1466"	"bir kız tarafından böylesine aşağılanmak"	"olacak"	"şey miydi. Duyduğu zehirli sözler"
"s"	"S-ADABAo-0332-2093"	"Bir kız sunucu bizim televizyonumuzda"	"olmasın"	"diye ee ama ben dünyada"
"w"	"W-JA16B3A-1721-205"	"bir komedi. Bu dedikleriniz doğru"	"olmaya"	"doğru ama, siz... Film, yalnız"
"w"	"W-GA16B4A-1239-546"	"bir kişi, biribirimize nasıl bağlı"	"olduğumuzu,"	"bu bağın kopmasının benim için"
"w"	"W-MG37C4A-1285-1342"	"bir kez daha ve doğru"	"olarak"	"okuma fırsatı buldum; bir göçmen"
"s"	"S-ADAB^Z-0370-2253"	"bir kere üniversiteden yeni mezun"	"olmuş"	"arkadaşların? Şimdi işletmelerde öncelikle emm"
"w"	"W-ED02A1B-3649-358"	"bir Kentbilim Terimleri Sözlüğü oluşturmakta"	"olan"	"Siyasal Bilgiler Fakültesi Şehircilik Profesörü"
"s"	"S-ACABQq-0423-1830"	"bir kazanımdı; fakat, Türk tarafı"	"olarak,"	"bu beş yıl şartını bile"
"w"	"W-RD39C4A-2646-211"	"bir kavmin yok edilmesine sebep"	"olacak"	"kadar çirkin ama herhangi bir"
"s"	"S-ADABDp-0432-1065"	"bir kapakçık. Bu da yetersiz"	"olan"	"kapak kanı geri kaçırıyo. Bunun"
"s"	"S-AEABPZ-0331-1020"	"bir kamu geliri olarak <B>"	"olarak"	"kabul edilmek yerine, ortaya çıkan"
"s"	"S-BEABXO-0128-838"	"bir kale iğrenç bir şey"	"oldu"	"tabi bizim bütün bahçeler filan"
"s"	"S-ADBBAo-0443-1380"	"bir kadın açtı. Üvey annesi"	"olduğunu"	"anladı. Babasına bir kez daha"
"w"	"W-SI45F1D-4069-2032"	"bir İngilizceyle yardıma ihtiyacınız olup"	"olmadığını"	"soruyor. İstasyon'da İsveç graniti kadar"
"w"	"W-JI09C0A-0275-1313"	"bir işe yaramaz. Nefreti bahane"	"olarak"	"kullanmak ve inatla aynı yolda"
"w"	"W-UE36E1B-3356-2459"	"bir izdiham yaşandı. Ve adetimiz"	"olduğu"	"üzere defile biraz geç başlayabildi."
"w"	"W-KE39C3A-1352-1052"	"bir ipucu bulunmamasına rağmen Ari"	"olarak"	"tanımlarlar. Oysa sanal dahi olsa"
"w"	"W-KA16B2A-0637-1818"	"bir insana benziyordu. ""Burada çalışacak"	"olan"	"mahkûmu benim seçmem gerekirdi, ama"
"w"	"W-PA16B2A-0692-1033"	"bir hukuk mezunuydu. Hep hâkim"	"olmayı"	"hayal etmişti, fakat olaylar onu"
"s"	"S-ADABPZ-0116-1534"	"bir hastane, yasal bir zorunluluk"	"olabilir"	"bir adliye binası, verimlilik için"
"s"	"S-AEABUs-0037-413"	"Bir haber olarak izliyoruz, haberdar"	"oluyoruz."	"Ama her zaman ateş düştüğü"
"w"	"W-PI22E1B-2909-526"	"bir güneş çiziyorum. Güneş sarı"	"olmalı,"	"onu sarıya boyuyorum. Artık bir"
"w"	"W-CA16B3A-0577-2173"	"bir gün de bizim konuğumuz"	"olurlar,"	"ama Ali Amca gelirken, rakısını"
"w"	"W-IA16B2A-0771-1343"	"bir gencin nikahlanmadan bir arada"	"olabileceklerinin"	"örneğini vermiş ve kabul ettirmiştik."
"w"	"W-IH03A1B-3117-2468"	"bir filozofon düşüncelerini oluştururken zorunlu"	"olarak"	"eldeki bilimsel bilgileri dikkate alması,"
"w"	"W-VF05A1B-4639-532"	"bir etkisinin gözlenmesinin temel nedeni"	"olarak,"	"yatırımcıların döviz kurunda beklenmeyen ani"
"w"	"W-YI45F1C-5071-2157"	"bir erkek mutlaka kirli sakallı"	"olmalı."	"Bıyık da varsa yeme de"
"s"	"S-ACABUZ-0035-1169"	"bir emm eğitimci background'u geçmişi"	"olmadığı"	"halde bugün bile şaşkınlıkla izlenen"
"w"	"W-DD02A1A-2690-1013"	"bir düşünceyi geliştirecek yeteneğe sahip"	"olmadıklarını"	"düşündükleri için bu hataya düşüyorlar."
"s"	"S-ADABI]-0127-379"	"bir düşün bakim ne yapıcaksın,"	"olmadı"	"ama olmicak anlamına da gelmiyor."
"s"	"S-ACABFZ-0049-1362"	"bir dünya kuruluyor! Oysa gerçekte"	"olan"	"bunun tamamen tersi. Bir tarafta"
"w"	"W-JC06E1B-3084-1170"	"bir durumla karşılaşıyor. Sakala karşı"	"olan"	"bitmeyen savaş nasıl halledilecek? Bu"
"w"	"W-PG22C1A-0518-1018"	"bir dostum bildirdi biliyordum hasta"	"olduğunu,"	"canının nicedir çarpıştığını. Acılarını teslim"
"w"	"W-UE30D1B-2091-1367"	"bir direnişle karşılaşacağını ve bugün"	"olduğu"	"gibi, devlet başkanının ve bakanlarının"
"s"	"S-BEABXp-0156-322"	"bir dialect çalışması örnek de"	"olucak."	"Mustafa hocaya yapıyo çoğunlukla arkadaşlar"
"s"	"S-ADBBI^-0042-719"	"Bir daha hayatımda köpek sahibi"	"olur"	"muyum, bilmiyorum; ama herhalde Terrier"
"w"	"W-GD02A1B-3768-493"	"bir cisim, bir makine parçası"	"olduğunu"	"öne sürmüştü. Kanaatimize göre, Kanunun"
"w"	"W-VI45F1D-4717-352"	"bir caydırıcılık stratejisi söz konusu"	"olabilir."	"Nitekim aşağıdaki karar bu yöndeki"
"s"	"S-ACAAPZ-0030-1242"	"bir canlının dünyaya gelmesine yardımcı"	"olmuş,"	"doğum ağrısı çeken bir annenin"
"s"	"S-ACAAPZ-0032-1193"	"bir bölümünde emm katkıda bulunmam"	"oldu."	"Bu bakımdan kendimi mutlu olarak"
"w"	"W-HH13C2A-3335-1744"	"bir buçuğunun oy desteğine mazhar"	"olmuşlarsa,"	"bu sonuca asla razı olmuyorlar."
"s"	"S-AAAAFZ-0383-1178"	"Bir bitkide kaç bin gen"	"olabileceğini"	"öğrendik derken bir bitkide 26"
"s"	"S-BEABXW-0173-1991"	"bir bir buçuk aylık deneyimim"	"olduğu"	"halde odaların yerini bilmiyodum yani"
"w"	"W-MD02A2A-2685-1083"	"bir belirsizliğe de açıklık getirmiş"	"olmaktadır."	"İmar Kanununda nazım imar planlarının"
"w"	"W-PG09C4A-0224-2153"	"bir başkasıyla paylaşılan bir şey"	"olarak"	"değil, tek başına kurulan bir"
"s"	"S-ACABQq-0423-323"	"bir başarı olarak değerlendirilmelidir. Ne"	"olursa"	"olsun, Senatonun yarısı Türk kalacaktır"
"s"	"S-ADAASK-0036-260"	"bir aşk gelir ki o"	"olmazsa"	"olmaz zannettiğiniz şeylerin böyle lüzumsuz"
"w"	"W-UA16B1A-1249-1137"	"bir ağaç gözüküyordu. Ne ağacı"	"olduğunu"	"bilmiyorum. Uzun uzun yaprakları vardı."
"s"	"S-BEABXO-0122-1750"	"bir asilik, böyle şeylik, nasıl"	"oluyor?"	"Örnek, Maide. Ama Maide gibi"
"s"	"S-ADABPZ-0116-217"	"bir araştırma fikrine bir fizibilite"	"olarak"	"olarak emm Ortaya çıkar. Fizibilite"
"w"	"W-TF25D1B-2163-2022"	"Bir anlamda Türkiye'nin bilgi bankası"	"olacak"	"sistem için, Tapu Kadastro Genel"
"w"	"W-VE05A2A-2710-445"	"bir anayasa olarak algılanması yanıltıcı"	"olacaktır."	"Toplulukla yeni ihtiyaçlara göre yeni"
"w"	"W-SE36E1B-3352-986"	"bir Amerikalı olarak filmden rahatsız"	"olmadım."	"Amerika yıllardan beri sonunda muhakkak"
"w"	"W-SE05A1B-4206-2146"	"bir amaç ve hedefe sahip"	"olmasından,"	"belli bir grup tarafından destek"
"w"	"W-NI09C4A-0106-1792"	"bir Alman mürebbiyenin geldiğini, arkadaşımız"	"olan"	"çocuklarla, yalnızca Almanca konuştuğunu anımsıyorum."
"s"	"S-AEABTZ-0040-563"	"binde bir, milyarda bir bile"	"olsa,"	"milyarda bir bile olsa, böyle"
"s"	"S-ADABPZ-0374-1493"	"bin senedir istikrar sağlamışım millet"	"olarak"	"ama hala birileri bozuyor işte"
"w"	"W-RF10E1B-3066-619"	"bin civarında bir oy potansiyeli"	"olduğu"	"biliniyor. Hak ve Özgürlükler Hareketi"
"s"	"S-BEABXp-0192-697"	"bilmiyorum hem hayvanlara da ilgim"	"olduğu"	"için biraz da o geçiyor"
"s"	"S-BEABXO-0091-21"	"bilmiyom Necmi takıyodu işte nerenin"	"olduğunu"	"bilmiyom. Çarşıda böyle okul yok"
"s"	"S-BEABXp-0156-1432"	"bilmiorum ulaşılabilinir mi? Tamam güzel"	"olur"	"yani. Genre türünü belirlemiş olur,"
"s"	"S-BEABXX-0411-1049"	"bilmem ne, vampir oluyo şöyle"	"oluyo"	"ne bilim. He Edward çok"
"s"	"S-BEABXp-0156-2088"	"bilmem ne işte durumları tam"	"olarak"	"nası saptıycaksın. Yani çok malzeme"
"w"	"W-LA16B2A-0514-190"	"bilmediğin için içindeki sevginin eksik"	"olduğunu"	"düşünürdün sen... Bizi, kendini ve"
"w"	"W-SI42E1B-2941-940"	"bilmedikleri için, bâtıl ve hurâfe"	"olan"	"bu tür fiillerin, dinden olduğunu"
"s"	"S-BEABXY-0063-315"	"biliyon mu? Hıı tamam. 9"	"olmuş."	"<D 30> Neyse ya. Bana"
"s"	"S-BEABXW-0173-2386"	"biliyolar ya ne olcanı nası"	"olcanı"	"bilmem ne o yüzden kandıramıyosun."
"s"	"S-BEABXO-0375-1640"	"biliyi artık üğrenmiş. Yirmi sene"	"olmuş"	"daa üğrenemedi mi? Temin ne"
"s"	"S-ADABII-0439-1657"	"bilirsem ve gider alırsam güzel"	"olur"	"olursa kullanırım yani ama illa"
"w"	"W-SA16B2A-0502-2088"	"bilirlerdi aslında, sevgisizliğin büyük suç"	"olduğunu."	"Bir ara, ""Siz kimsiniz, ne"
"w"	"W-RI32D1B-2729-2432"	"bilinçli ya da bilinçsiz işlemiş"	"olduğunuz"	"bir suçun vicdan azabının neden"
"s"	"S-ADABCo-0273-568"	"bilinçlenme adında burasının çok önemli"	"olduğunu"	"düşünüyorum. Vakıf temsilcileri cezanın kaldırılmasıyla"
"s"	"S-ADABI]-0127-561"	"bilinçlenir tabi kendisi içinde yaptığı"	"olmuştur."	"Benim düşüncemde böle. Çok teşekkürler"
"w"	"W-OG37C0A-0191-1751"	"bilinmiyor. Anadolu dünyada eşi benzeri"	"olmayan"	"zenginlikte ve renkte bir müzik"
"w"	"W-UC29D1B-2445-2191"	"bilinirlik kazanmış aktif bir konu"	"olmadığı"	"için şuanda Tüm Türkiye adına"
"w"	"W-LD03A4A-0254-664"	"bilinen, fizikçilerin birleşik alan fiziği"	"olarak"	"adlandırdıkları bir ""olgu"" var. Bu"
"s"	"S-ACABTZ-0336-2280"	"bilincinin ilköğretimden acilen başlatılmasının gerekli"	"olduğunu"	"düşünüyor ve bu sempozyumun sonucu"
"w"	"W-KD03A0A-0261-1094"	"bilimi, sanatı, kültürü paylaşarak mutlu"	"olduğumuzu"	"görelim. Birbirimizden sorumlu olduğumuzu bilerek"
"s"	"S-ADABPZ-0116-1239"	"bilim insanı olarak sizinle beraber"	"olmak"	"bize güç veriyor kuvvet veriyor."
"s"	"S-AEABTZ-0041-957"	"bilgisi kavramının ne kadar derin"	"olduğunu"	"sizlere bırakıyorum. Aslında bunlar istisna"
"w"	"W-UD39C2A-2647-1611"	"Bilgisayar öğrenciye arkadaş baskısı eleştirisi"	"olmadan"	"kendi öğrenme ihtiyaçlarını karşılayacak sayıda"
"w"	"W-KD05A3A-1273-1344"	"bilgisayar ile ilave bir ekipman"	"olmadan"	"haberleşebilmektedir. Birden fazla terminal bulunan"
"s"	"S-BEABX{-0085-1605"	"bilgisayar başına veriyorlar ya şoför"	"oluyor"	"bir şey oluyor? Yav rütbeli"
"w"	"W-FF05A3A-2956-1781"	"bilgili titizliği ekonomik rekabetin FİYATLARDA"	"olduğu"	"kadar KALİTEDE de geçerli olmasına"
"s"	"S-ADABPZ-0135-1395"	"bilgide evrenselliğin uygun bir kategoride"	"olduğunu"	"düşünmüyorum. Yani bilgiler doğru ya"
"w"	"W-MF10A2A-1786-596"	"bilgi üretimi ve araştırmacı sayısı"	"olarak"	"kritik kütleye ulaşılmadığı sürece başarılı"
"w"	"W-JI22C2A-0376-1973"	"Bilgi Toplumu'nun nasıl bir şey"	"olduğunu"	"ya da daha iyisi ne"
"s"	"S-ADAASK-0036-342"	"bilenlerden eyle. Bizi Ümmet-i Muhammet"	"olarak"	"yarattın, Ya Rabbi, Ümmet-i Muhammet"
"s"	"S-ADABAo-0033-813"	"bilen bu gelenekten yetişen birisi"	"olarak,"	"alevi Bektaşi geleneğinde Muharrem ayı"
"w"	"W-NA16B4A-0040-1880"	"bile, seneye aynı koltuklarda oturmuyor"	"olabilirlerdi."	"Yerlerini alacak kişiler bu özveriyi,"
"w"	"W-II22C3A-0566-1454"	"bile geçmezler. Artık kendi hemcinsleri"	"olan"	"piyanistler, balıkçılar, şairler, aylaklar, çocuklar"
"s"	"S-ADABAo-0309-767"	"bile bu fiyatların çok akraktif"	"olduğu"	"görüldü o yüzden de ciddi"
"s"	"S-ADABAo-0368-1361"	"bile bile belki de hoş"	"olmayan"	"ortamlara giriyorsun. Ama hem de"
"s"	"S-BEABXO-0324-97"	"bile adamın kim olduğunu ne"	"olduğunu"	"falan. Gündüz bile… bile… Adamların"
"w"	"W-UE36E1B-3357-1762"	"bildiğimiz ya da haberimizin bile"	"olmadığı"	"dünyasında ""saykodelik"" bir yolculuk yapıyor."
"s"	"S-ADABAo-0033-272"	"biat etseydi bugün İslam da"	"olmayacaktı"	"Tarikatı aliyya da olmayacaktı değerli"
"s"	"S-BEABXO-0012-1954"	"bi şey. <B> dekan bile"	"olur"	"yani Yani Tabii. Bizim öküz"
"s"	"S-BEABXp-0156-1692"	"bi şey var. İşte çok"	"olmaz"	"evet... Öyle düşünmek lazım çok"
"s"	"S-BEABXX-0411-1641"	"Bi şey olmazsa geliriz, bişey"	"olmazsa"	"geliriz yani. Hı evet. Akşam?"
"s"	"S-ADABDp-0432-534"	"bi şey ben yaşadım, yataklardan"	"olabilir"	"mi diye düşündüm. Pek de"
"s"	"S-BEABXW-0005-422"	"Bi üst sınıfım olduğun için"	"olabilir"	"mi acaba? <B> Aranız da"
"w"	"W-VI45F1D-4706-838"	"bi türlü denk gelmedi, kısmet"	"olmadı."	"Evi nerededir, bilmem (MKD Eyvah!"
"s"	"S-BEABXW-0173-1407"	"bi tanesi barmenlerden bitanesi uyuz"	"oldu"	"düşün o pislikten hayır öle"
"s"	"S-BEABXO-0060-786"	"bi paket sigara alsın. Hadi."	"Olur."	"Çabuk o zaman hadi. Kalk"
"s"	"S-ADABCo-0365-1520"	"bi konu. Yani benzer nüfusu"	"olan"	"ülkelerde bizim kadar profesyonel takım"
"s"	"S-BEABXO-0345-2133"	"bi kere. Hayır ama önemli"	"olan"	"her öğrenci. Her ve erişilebilir."
"s"	"S-BEABXO-0345-1867"	"bi kavram galiba. Ya güven"	"olsa"	"nolur elin abazası yazmış orda"
"s"	"S-BEABXO-0344-1123"	"bi insan ablasıyla arkadaş gibi"	"olabilir."	"Ben mesela bugün tanışcak oldu..."
"s"	"S-ADABCo-0197-401"	"bi geri dönüşün koşulları sağlanmamış"	"olur."	"Biz de ümit ediyoruz uluslararası"
"s"	"S-BEABXO-0147-792"	"bi fazlası sekiz tane nokta"	"olur."	"Şu bir... beş altı yedi"
"s"	"S-ADABAo-0355-396"	"bi de kötü bi iş"	"oldu,"	"bu Avrupa Birliği diye itiraz"
"s"	"S-ADAB^Z-0370-2043"	"bi daha gelsem yine doktor"	"olurum,"	"yine genel cerrah olurum diyorum"
"s"	"S-BEABXO-0342-1615"	"bi daha aradı, soyadı kanunu"	"olmadığı"	"için o zamanlar Türkiye'de problem"
"s"	"S-ADABAo-0355-1141"	"bi <B> diil burası, ciddi"	"olmak"	"lazım yani. Ee! bütün vatandaşlara"
"s"	"S-ADBBI^-0042-2420"	"Beş senedir bakanlık yapan biri"	"olarak"	"çoğuyla dostluğum vardı. Telefonda, ""Ekselansları"
"w"	"W-TC06A1B-4095-1538"	"beş basamak tanımlanmaktadır. Analize konu"	"olan"	"verilerden örneklem seçme birinci basamaktır."
"w"	"W-HF10A2A-1876-57"	"beğeni toplamasıdır. Bunun doğal sonucu"	"olarak"	"siyasal iktidarı sürdürebilmenin çoğunluk desteği"
"w"	"W-HA16B2A-0717-1780"	"Beyza hanım belki bir tanıdık"	"olur"	"düşüncesiyle kulaklarını kabartarak dinlemeye başladı."
"s"	"S-ADBBI^-0326-1915"	"Beylerbeyi'nde Hafız Mehmet Bey'in oğlu"	"olarak"	"kalıyorsun, SSK memuru olarak kalıyorsun."
"s"	"S-ADBBAo-0443-1176"	"Beyazıt'ı karıştırıyorlar. Peki sen meşhur"	"olduğun"	"için mi kızlar sana geliyor?"
"s"	"S-BEABXr-0078-2500"	"beyaz ya. Senin aslında sarışın"	"olman"	"lazım vallaha bak Duygu. Siyaha"
"w"	"W-EC06A1B-3566-2340"	"Beyaz sinek populasyonunun artışında etken"	"olmuştur."	"Yüksek Beyaz sinek populasyonunun erken"
